id,bare,rank,type,level
644,компания,625.0,noun,B1
647,доктор,628.0,noun,B1
650,автор,631.0,noun,B1
651,мужик,632.0,noun,B1
653,интерес,634.0,noun,B1
658,счёт,639.0,noun,A1
661,лейтенант,642.0,noun,B1
662,оружие,643.0,noun,B1
663,игра,644.0,noun,B1
668,бой,649.0,noun,B1
669,качество,650.0,noun,B1
673,член,654.0,noun,B1
675,хлеб,656.0,noun,B1
680,развитие,661.0,noun,B2
682,банк,663.0,noun,B2
683,совет,664.0,noun,B2
686,трубка,667.0,noun,B2
687,ладонь,668.0,noun,B2
690,институт,671.0,noun,B2
697,идея,677.0,noun,B2
698,точка,678.0,noun,B2
699,уровень,679.0,noun,B2
700,профессор,680.0,noun,B2
701,наука,681.0,noun,B2
702,событие,682.0,noun,B2
703,союз,683.0,noun,B2
704,король,684.0,noun,B2
705,половина,685.0,noun,B2
706,метр,686.0,noun,B2
708,вера,688.0,noun,B2
710,область,690.0,noun,B2
712,ситуация,692.0,noun,B2
713,кухня,693.0,noun,B2
714,надежда,694.0,noun,B2
715,род,695.0,noun,B2
716,офицер,696.0,noun,B2
718,течение,698.0,noun,B2
719,информация,699.0,noun,B2
731,граница,711.0,noun,B2
732,слеза,712.0,noun,B2
734,рассказ,714.0,noun,B2
737,трава,717.0,noun,B2
740,тридцать,719.0,noun,B2
741,борьба,720.0,noun,B2
743,шея,722.0,noun,B2
744,десяток,723.0,noun,B2
746,толпа,725.0,noun,B2
748,родитель,727.0,noun,A2
749,правило,728.0,noun,B2
751,секунда,730.0,noun,A2
756,программа,735.0,noun,B2
757,фамилия,736.0,noun,B2
758,звук,737.0,noun,B2
759,роман,738.0,noun,B2
763,чай,742.0,noun,A1
765,роль,744.0,noun,B2
766,сознание,745.0,noun,B2
768,команда,747.0,noun,B2
772,магазин,751.0,noun,B2
775,ворот,754.0,noun,B2
777,полковник,756.0,noun,B2
778,природа,757.0,noun,B2
780,запах,759.0,noun,B2
781,поэт,760.0,noun,B2
782,район,761.0,noun,B2
783,лист,762.0,noun,B2
785,стекло,764.0,noun,B2
787,количество,766.0,noun,B2
788,этаж,767.0,noun,B2
789,тип,768.0,noun,B2
791,свобода,770.0,noun,B2
792,сапог,771.0,noun,B2
793,суд,772.0,noun,B2
795,выход,774.0,noun,A2
796,дед,775.0,noun,B2
797,лоб,776.0,noun,B2
798,кресло,777.0,noun,B2
799,дочь,778.0,noun,B2
802,характер,781.0,noun,B2
803,опыт,782.0,noun,B2
804,площадь,783.0,noun,B2
808,управление,787.0,noun,B2
810,мнение,789.0,noun,B2
814,революция,793.0,noun,B2
816,улыбка,795.0,noun,B2
817,рост,796.0,noun,B2
818,лошадь,797.0,noun,B2
822,кожа,801.0,noun,B2
824,звезда,803.0,noun,B2
825,поезд,804.0,noun,B2
828,сестра,807.0,noun,A2
832,баба,811.0,noun,B2
834,цветок,813.0,noun,B2
835,дождь,814.0,noun,A2
836,желание,815.0,noun,B2
837,болезнь,816.0,noun,B2
841,сосед,820.0,noun,B2
842,пример,821.0,noun,B2
846,дама,825.0,noun,B2
848,орган,827.0,noun,B2
849,поле,828.0,noun,B2
850,ящик,829.0,noun,B2
851,цена,830.0,noun,B2
857,карта,836.0,noun,B2
858,слава,837.0,noun,B2
859,радость,838.0,noun,B2
861,тень,840.0,noun,B2
863,операция,842.0,noun,B2
867,музыка,846.0,noun,B2
870,завод,849.0,noun,B2
872,лето,851.0,noun,B2
879,станция,858.0,noun,A2
880,повод,859.0,noun,B2
881,воля,860.0,noun,B2
882,литература,861.0,noun,B1
885,дурак,864.0,noun,B2
886,приказ,865.0,noun,B2
887,гражданин,866.0,noun,B2
890,крыша,869.0,noun,B2
891,цвет,870.0,noun,B2
895,статья,874.0,noun,B2
896,круг,875.0,noun,B2
898,факт,877.0,noun,B2
899,бок,878.0,noun,B2
903,стул,882.0,noun,A2
907,лагерь,886.0,noun,B2
908,войско,887.0,noun,B2
911,вино,890.0,noun,A1
912,возраст,891.0,noun,B2
915,лестница,894.0,noun,B2
917,министр,896.0,noun,B2
918,фронт,897.0,noun,B2
924,сад,903.0,noun,B2
926,задача,905.0,noun,B2
932,темнота,911.0,noun,B2
933,название,912.0,noun,B2
938,дым,917.0,noun,B2
940,километр,919.0,noun,B2
947,прочее,926.0,noun,B2
953,доллар,932.0,noun,B2
955,выражение,934.0,noun,B2
958,танк,937.0,noun,B2
961,зима,940.0,noun,B2
962,знак,941.0,noun,B2
965,мозг,943.0,noun,B2
966,учитель,944.0,noun,B2
969,майор,947.0,noun,B2
973,тишина,951.0,noun,B2
974,кровать,952.0,noun,A2
978,рыба,956.0,noun,B2
979,щека,957.0,noun,B2
980,птица,958.0,noun,B2
985,папа,963.0,noun,A2
987,водка,965.0,noun,B2
988,здание,966.0,noun,B2
990,зеркало,968.0,noun,B2
992,искусство,970.0,noun,B2
993,начало,971.0,noun,B2
997,вагон,975.0,noun,B2
999,автомат,977.0,noun,B2
1002,милиция,980.0,noun,B2
1003,срок,981.0,noun,B2
1006,одежда,984.0,noun,B2
1008,корабль,986.0,noun,B2
1009,кулак,987.0,noun,B2
1010,художник,988.0,noun,B2
1011,курс,989.0,noun,B2
1012,куст,990.0,noun,B2
1013,состав,991.0,noun,B2
1018,чудо,996.0,noun,B2
1020,кусок,998.0,noun,B2
1024,фирма,1002.0,noun,B2
1025,миллион,1003.0,noun,B2
1028,тема,1006.0,noun,B2
1034,линия,1012.0,noun,B2
1036,мешок,1014.0,noun,B2
1038,бабушка,1016.0,noun,B2
1039,крик,1017.0,noun,B2
1040,рот,1018.0,noun,B2
1041,сутки,1019.0,noun,B2
1043,ключ,1021.0,noun,B2
1045,процент,1023.0,noun,B2
1046,ощущение,1024.0,noun,B2
1048,остров,1026.0,noun,B2
1049,конь,1027.0,noun,B2
1052,театр,1030.0,noun,B2
1053,живот,1031.0,noun,B2
1055,штаб,1033.0,noun,B2
1056,детство,1034.0,noun,B2
1060,сотня,1038.0,noun,B2
1062,стакан,1040.0,noun,B2
1065,трое,1043.0,noun,B2
1066,материал,1044.0,noun,B2
1067,ужас,1045.0,noun,B2
1070,значение,1048.0,noun,B2
1071,труба,1049.0,noun,B2
1074,стих,1052.0,noun,B2
1075,способ,1053.0,noun,B2
1078,степень,1056.0,noun,B2
1083,волна,1061.0,noun,B2
1088,глубина,1066.0,noun,B2
1091,нож,1069.0,noun,B2
1093,рынок,1071.0,noun,B2
1094,шум,1072.0,noun,B2
1095,студент,1073.0,noun,B2
1098,отдел,1076.0,noun,B2
1099,запад,1077.0,noun,B2
1100,очко,1078.0,noun,B2
1104,успех,1082.0,noun,B2
1105,инженер,1083.0,noun,B2
1106,население,1084.0,noun,B2
1111,пыль,1089.0,noun,B2
1115,знание,1093.0,noun,B2
1117,секретарь,1095.0,noun,B2
1119,ошибка,1097.0,noun,B2
1120,боец,1098.0,noun,B2
1122,масса,1100.0,noun,B2
1123,чёрт,1101.0,noun,B2
1125,царь,1103.0,noun,B2
1129,фигура,1107.0,noun,B2
1131,противник,1109.0,noun,B2
1132,даль,1110.0,noun,B2
1135,журнал,1113.0,noun,B2
1139,победа,1117.0,noun,B2
1141,сотрудник,1119.0,noun,B2
1150,адрес,1128.0,noun,B2
1152,период,1130.0,noun,B2
1153,еврей,1131.0,noun,B2
1154,слух,1132.0,noun,B2
1156,клуб,1134.0,noun,A2
1158,хвост,1136.0,noun,B2
1161,предмет,1138.0,noun,B2
1166,лечение,1143.0,noun,B2
1170,зрение,1147.0,noun,B2
1176,беда,1153.0,noun,B2
1177,столица,1154.0,noun,B2
1178,обед,1155.0,noun,B2
1181,культура,1158.0,noun,B2
1183,высота,1160.0,noun,B2
1184,территория,1161.0,noun,B2
1185,костюм,1162.0,noun,B2
1192,попытка,1169.0,noun,B2
1193,дно,1170.0,noun,B2
1197,страница,1174.0,noun,B2
1200,еда,1177.0,noun,A2
1201,размер,1178.0,noun,B2
1205,сцена,1182.0,noun,B2
1211,фотография,1188.0,noun,B2
1213,принцип,1190.0,noun,B2
1214,миг,1191.0,noun,B2
1219,тётя,1196.0,noun,B2
1221,мастер,1198.0,noun,B2
1222,отряд,1199.0,noun,B2
1223,старуха,1200.0,noun,B2
1225,житель,1202.0,noun,B2
1226,меч,1203.0,noun,B2
1229,господь,1206.0,noun,B2
1231,тюрьма,1208.0,noun,B2
1236,дворец,1213.0,noun,B2
1239,камера,1216.0,noun,B2
1241,существо,1218.0,noun,B2
1242,билет,1219.0,noun,A2
1244,фраза,1221.0,noun,B2
1247,весна,1224.0,noun,B2
1248,лодка,1225.0,noun,B2
1250,фильм,1227.0,noun,B2
1252,больница,1229.0,noun,B2
1253,смех,1230.0,noun,B2
1254,специалист,1231.0,noun,B2
1258,мальчишка,1235.0,noun,B2
1263,продукт,1240.0,noun,B2
1264,пистолет,1241.0,noun,B2
1267,родина,1244.0,noun,B2
1269,личность,1246.0,noun,B2
1274,скорость,1251.0,noun,B2
1275,участок,1252.0,noun,B2
1279,текст,1256.0,noun,A2
1280,зверь,1257.0,noun,B2
1287,артист,1264.0,noun,B2
1289,автомобиль,1266.0,noun,B2
1290,участие,1267.0,noun,B2
1291,кот,1268.0,noun,B2
1292,мост,1269.0,noun,B2
1295,здоровье,1272.0,noun,B2
1296,костёр,1273.0,noun,B2
1299,пуля,1276.0,noun,B2
1300,сомнение,1277.0,noun,B2
1302,отсутствие,1279.0,noun,B2
1305,мясо,1282.0,noun,B2
1310,читатель,1287.0,noun,B2
1311,доска,1288.0,noun,B2
1312,убийство,1289.0,noun,B2
1315,мгновение,1292.0,noun,B2
1316,восток,1293.0,noun,B2
1320,настроение,1297.0,noun,B2
1324,пауза,1301.0,noun,B2
1325,приём,1302.0,noun,B2
1326,порог,1303.0,noun,B2
1327,фон,1304.0,noun,B2
1332,пропасть,1309.0,noun,B2
1335,песок,1312.0,noun,B2
1336,долг,1313.0,noun,B2
1342,работник,1319.0,noun,B2
1348,сожаление,1325.0,noun,B2
1353,горло,1330.0,noun,B2
1355,ресторан,1332.0,noun,A1
